experiment,run,generation,genome_size_mean,genome_size_max,displacement_mean,displacement_max,num_voxels_mean,num_voxels_max,bone_count_mean,bone_count_max,bone_prop_mean,bone_prop_max,fat_count_mean,fat_count_max,fat_prop_mean,fat_prop_max,fat2_count_mean,fat2_count_max,fat2_prop_mean,fat2_prop_max,phase_muscle_count_mean,phase_muscle_count_max,phase_muscle_prop_mean,phase_muscle_prop_max,offphase_muscle_count_mean,offphase_muscle_count_max,offphase_muscle_prop_mean,offphase_muscle_prop_max,aspect_ratio_mean,aspect_ratio_max,material_heterogeneity_mean,material_heterogeneity_max,max_limb_length_mean,max_limb_length_max,symmetry_score_mean,symmetry_score_max,uniqueness_mean,uniqueness_max,fitness_mean,fitness_max,age_mean,age_max,dominated_disp_nov_mean,dominated_disp_nov_max,novelty_mean,novelty_max,novelty_weighted_mean,novelty_weighted_max
custom_controller,1,1,301.0,301.0,0.442432491905667,19.855133425421243,7.52,17.0,1.79,8.0,0.2357,0.83,1.82,8.0,0.2444,0.8,,,,,2.18,10.0,0.2634,0.75,1.73,6.0,0.2555,0.5,1.0,1.0,0.1616,0.2,1.5,4.0,0.6968000000000001,1.0,0.9867090650486372,1.1528874695318545,0.442432491905667,19.855133425421243,1.0,1.0,24.12,87.0,0.56042651116848,0.8603174090385437,0.25206112515927714,13.047658093741239
custom_controller,1,2,301.09,312.0,4.341624350834744,22.502441791785312,7.89,17.0,1.5,9.0,0.1725,0.75,1.67,6.0,0.20679999999999998,0.8,,,,,2.85,9.0,0.3482,0.75,1.87,6.0,0.272,0.67,1.0,1.0,0.16240000000000002,0.2,1.43,4.0,0.6864,1.0,0.9725583114729727,1.1752661533521607,4.341624350834744,22.502441791785312,1.46,2.0,24.23,87.0,0.5379147711396217,0.7661363482475281,2.517134333829497,12.972577140216197
custom_controller,1,3,301.36,312.0,6.756480435961079,25.511913447721238,8.83,16.0,1.53,9.0,0.1535,0.89,1.62,6.0,0.17,0.86,,,,,3.54,9.0,0.4075,0.75,2.14,6.0,0.2677,0.67,1.0,1.0,0.1628,0.2,1.52,4.0,0.6416,1.0,0.9682099250356826,1.1852703693612785,6.756480435961079,25.511913447721238,1.83,3.0,20.61,82.0,0.4956216921657324,0.7206348180770874,3.5034243147176687,17.56714148127017
custom_controller,1,4,301.89,315.0,8.502684009310432,25.511913447721238,9.58,19.0,1.56,8.0,0.1442,0.83,1.62,9.0,0.1527,0.86,,,,,4.21,9.0,0.4532,0.75,2.19,6.0,0.24739999999999998,0.5,1.0,1.0,0.166,0.2,1.61,4.0,0.6144,1.0,0.9461693872389645,1.1664729767102173,8.502684009310432,25.511913447721238,2.28,4.0,18.88,94.0,0.4567172414064407,0.7949494123458862,3.7657093820658316,18.31446045907533
custom_controller,1,5,301.44,313.0,10.974438583074921,29.601220077287856,10.04,20.0,1.55,8.0,0.1307,0.57,1.76,9.0,0.1663,0.67,,,,,4.54,12.0,0.4635,0.75,2.19,8.0,0.2372,0.5,1.0,1.0,0.1672,0.2,1.64,4.0,0.6072,1.0,0.9262487961489156,1.1399058115964016,10.974438583074921,29.601220077287856,2.62,5.0,16.91,95.0,0.389218498878181,0.7949494123458862,4.150703471031042,19.932792422528877
custom_controller,1,6,301.42,313.0,12.566242015896478,31.678717718772564,10.14,19.0,1.56,8.0,0.1266,0.57,1.87,6.0,0.1736,0.6,,,,,4.6,11.0,0.4708,0.75,2.11,6.0,0.2257,0.5,1.0,1.0,0.168,0.2,1.68,4.0,0.5984,0.92,0.9172360991834675,1.1404086757356295,12.566242015896478,31.678717718772564,2.91,6.0,17.77,92.0,0.3514254374988377,0.7715872526168823,4.420147608523235,21.05194818168301
custom_controller,1,7,301.26,313.0,15.06901866010347,36.215400570862464,10.54,19.0,1.51,8.0,0.1184,0.57,1.99,6.0,0.17629999999999998,0.5,,,,,4.95,11.0,0.48710000000000003,0.75,2.09,6.0,0.2137,0.5,1.0,1.0,0.168,0.2,1.84,4.0,0.6175999999999999,0.92,0.8575728378982906,1.124592285079901,15.06901866010347,36.215400570862464,2.59,7.0,18.76,94.0,0.27313155693933366,0.7727272510528564,4.42040831657599,18.82212229668425
custom_controller,1,8,301.45,313.0,16.882577241254005,36.215400570862464,11.35,19.0,1.88,8.0,0.1421,0.57,1.89,6.0,0.15560000000000002,0.5,,,,,5.42,11.0,0.4953,0.75,2.16,6.0,0.20190000000000002,0.44,1.0,1.0,0.17400000000000002,0.2,1.93,4.0,0.6015999999999999,0.92,0.8413980383043967,1.153050552991917,16.882577241254005,36.215400570862464,2.82,8.0,19.75,83.0,0.24602840535342693,0.9455127716064453,4.357679108823587,15.391545242616546
custom_controller,1,9,301.78,313.0,17.440818759111178,36.215400570862464,11.75,19.0,2.14,9.0,0.1618,0.69,1.77,4.0,0.1424,0.4,,,,,5.71,11.0,0.5005,0.75,2.13,6.0,0.1898,0.43,1.0,1.0,0.17800000000000002,0.2,1.84,4.0,0.608,0.92,0.7934296682432764,1.1013988028828774,17.440818759111178,36.215400570862464,3.1,9.0,19.67,82.0,0.24131005574017764,0.7727272510528564,4.280856186834326,15.97537582463604
custom_controller,1,10,301.78,313.0,19.060695820708023,36.215400570862464,11.87,19.0,2.25,8.0,0.1722,0.57,1.72,4.0,0.1367,0.4,,,,,5.76,11.0,0.4951,0.75,2.14,6.0,0.1905,0.5,1.0,1.0,0.182,0.2,1.92,4.0,0.6152,1.0,0.7276237700312426,1.1300749457635657,19.060695820708023,36.215400570862464,3.34,10.0,22.42,78.0,0.18939588306471705,0.8154546022415161,3.8724434052144585,15.97537582463604
custom_controller,1,11,302.23,313.0,20.396199534524445,36.215400570862464,12.13,18.0,2.54,8.0,0.199,0.6,1.79,5.0,0.1394,0.38,,,,,5.76,8.0,0.4807,0.75,2.04,6.0,0.1751,0.43,1.0,1.0,0.1868,0.2,1.94,4.0,0.6103999999999999,0.84,0.6015872969705411,1.1799281192663547,20.396199534524445,36.215400570862464,3.18,11.0,21.13,76.0,0.16340297108516097,0.7714285850524902,3.3903444217505903,15.983047522686222
custom_controller,1,12,302.89,316.0,22.77900499140424,36.215400570862464,12.9,18.0,2.62,8.0,0.19640000000000002,0.57,1.95,5.0,0.1485,0.36,,,,,6.25,8.0,0.48619999999999997,0.71,2.08,6.0,0.16190000000000002,0.43,1.0,1.0,0.19440000000000002,0.2,2.01,4.0,0.6008,0.76,0.43938930306176294,1.1522634108975465,22.77900499140424,36.215400570862464,3.14,12.0,21.61,85.0,0.11796184802427888,0.7961904406547546,3.2156790730213807,17.202315702880888
custom_controller,1,13,303.17,318.0,22.345240250644206,36.215400570862464,12.52,17.0,2.6,8.0,0.2033,0.88,1.85,4.0,0.1412,0.36,,,,,6.09,8.0,0.48719999999999997,0.75,1.98,4.0,0.16140000000000002,0.43,1.0,1.0,0.1916,0.2,1.95,4.0,0.6096,0.92,0.4537529112219397,1.243259007530398,22.345240250644206,36.215400570862464,3.25,13.0,18.98,85.0,0.13006746770814062,0.761904776096344,3.004790677471595,17.217790081098585
custom_controller,1,14,303.56,316.0,24.722207478020874,36.215400570862464,12.75,17.0,2.58,8.0,0.19990000000000002,0.57,1.86,6.0,0.139,0.38,,,,,6.31,9.0,0.4948,0.75,2.0,4.0,0.1588,0.44,1.0,1.0,0.196,0.2,1.97,4.0,0.6024,0.92,0.3453043445957884,1.2177152009705488,24.722207478020874,36.215400570862464,3.29,14.0,21.93,91.0,0.09927758406847716,0.8061904907226562,2.9366934591575933,17.217790081098585
custom_controller,1,15,303.72,316.0,24.517738163171007,36.215400570862464,12.42,18.0,2.45,8.0,0.1925,0.57,1.74,8.0,0.13040000000000002,0.44,,,,,6.25,8.0,0.5059,0.8,1.98,4.0,0.1641,0.5,1.0,1.0,0.19519999999999998,0.2,1.89,4.0,0.6048,1.0,0.38211370223491437,1.144783580122261,24.517738163171007,36.215400570862464,3.54,15.0,18.46,87.0,0.11237695161253214,0.8171716928482056,2.924915509116872,17.531546303182388
