experiment,run,generation,genome_size_mean,genome_size_max,displacement_mean,displacement_max,num_voxels_mean,num_voxels_max,bone_count_mean,bone_count_max,bone_prop_mean,bone_prop_max,fat_count_mean,fat_count_max,fat_prop_mean,fat_prop_max,fat2_count_mean,fat2_count_max,fat2_prop_mean,fat2_prop_max,phase_muscle_count_mean,phase_muscle_count_max,phase_muscle_prop_mean,phase_muscle_prop_max,offphase_muscle_count_mean,offphase_muscle_count_max,offphase_muscle_prop_mean,offphase_muscle_prop_max,aspect_ratio_mean,aspect_ratio_max,material_heterogeneity_mean,material_heterogeneity_max,max_limb_length_mean,max_limb_length_max,symmetry_score_mean,symmetry_score_max,uniqueness_mean,uniqueness_max,fitness_mean,fitness_max,age_mean,age_max,dominated_disp_nov_mean,dominated_disp_nov_max,novelty_mean,novelty_max,novelty_weighted_mean,novelty_weighted_max
defaultexperiment,1,1,301.0,301.0,1.0387696212233333,14.782882620512195,7.55,16.0,2.0,11.0,0.24530000000000002,0.86,1.73,10.0,0.2089,0.8,,,,,2.24,9.0,0.2975,0.67,1.58,5.0,0.24650000000000002,0.67,1.0,1.0,0.1632,0.2,1.59,4.0,0.6944,1.0,0.9738489739777618,1.1616898113110234,1.0387696212233333,14.782882620512195,1.0,1.0,23.53,79.0,0.5199982817471027,0.7800000309944153,0.552502901047121,8.514555674628124
defaultexperiment,1,2,301.15,314.0,2.9675256362132245,14.782882620512195,8.22,19.0,2.0,8.0,0.2273,0.67,2.06,11.0,0.231,0.8,,,,,2.49,9.0,0.3074,0.75,1.67,5.0,0.233,0.67,1.0,1.0,0.168,0.2,1.63,4.0,0.6592,1.0,0.9802557312880279,1.1178816339900868,2.9675256362132245,14.782882620512195,1.54,2.0,27.0,85.0,0.5259518168866635,0.8416666984558105,1.7525015563979058,9.460442213795185
defaultexperiment,1,3,301.06,314.0,4.962041877356193,14.782882620512195,8.98,20.0,2.14,10.0,0.222,0.73,1.84,9.0,0.19580000000000003,0.8,,,,,2.91,9.0,0.32799999999999996,0.67,2.09,6.0,0.2531,0.67,1.0,1.0,0.1704,0.2,1.73,4.0,0.6088,1.0,0.9898268987864283,1.1062157528365661,4.962041877356193,14.782882620512195,1.89,3.0,22.42,80.0,0.5096300500631332,0.8157575726509094,2.687090937545679,8.867037507043444
defaultexperiment,1,4,301.27,321.0,6.30413860734741,23.251315858036875,8.61,20.0,1.93,7.0,0.2137,0.57,1.71,8.0,0.1928,0.8,,,,,2.98,9.0,0.34340000000000004,0.71,1.99,6.0,0.2494,0.67,1.0,1.0,0.1704,0.2,1.58,4.0,0.6175999999999999,1.0,0.9960745821754594,1.2551197348047427,6.30413860734741,23.251315858036875,2.24,4.0,21.14,89.0,0.49542574942111967,0.8539682626724243,3.290787593556635,17.156652753515775
defaultexperiment,1,5,301.3,321.0,7.5389568490041,23.251315858036875,8.61,19.0,1.9,6.0,0.2147,0.67,1.51,8.0,0.1675,0.67,,,,,3.18,9.0,0.3611,0.75,2.02,5.0,0.2562,0.67,1.0,1.0,0.16920000000000002,0.2,1.52,4.0,0.62,1.0,0.9633115109091983,1.3023422163075273,7.5389568490041,23.251315858036875,2.52,5.0,18.38,89.0,0.4576199375092983,1.0,3.554149030907512,15.85002304732189
defaultexperiment,1,6,300.79,321.0,8.799018840611165,23.47629035230034,8.42,19.0,1.68,7.0,0.19140000000000001,0.56,1.35,7.0,0.1425,0.67,,,,,3.3,9.0,0.3979,0.75,2.09,5.0,0.267,0.5,1.0,1.0,0.1684,0.2,1.45,4.0,0.6224000000000001,0.92,0.9724767738021326,1.3094008817693028,8.799018840611165,23.47629035230034,2.79,6.0,17.03,85.0,0.4334802586957812,0.9410713911056519,3.8677880180701654,12.453591310969697
defaultexperiment,1,7,300.97,321.0,9.58425342209332,26.73323735488439,8.5,19.0,1.8,7.0,0.20550000000000002,0.67,1.22,7.0,0.1215,0.56,,,,,3.38,8.0,0.4029,0.67,2.1,5.0,0.2688,0.6,1.0,1.0,0.16920000000000002,0.2,1.46,3.0,0.6232,0.92,0.9724357647639147,1.3025758745655076,9.58425342209332,26.73323735488439,3.15,7.0,16.34,78.0,0.39749643377959726,0.9351190328598022,3.719719928379186,11.698827653185848
defaultexperiment,1,8,300.75,321.0,10.714699302208347,26.866864186056496,8.52,19.0,1.89,8.0,0.2148,0.75,1.22,8.0,0.12390000000000001,0.57,,,,,3.33,8.0,0.39030000000000004,0.67,2.08,5.0,0.2697,0.67,1.0,1.0,0.1704,0.2,1.49,3.0,0.6224000000000001,1.0,0.9597498654839165,1.3012302600819345,10.714699302208347,26.866864186056496,3.46,8.0,17.01,81.0,0.34921195074915884,0.7791666388511658,3.5717310907839908,13.208353619132081
defaultexperiment,1,9,300.73,311.0,11.310970380990765,26.866864186056496,9.16,19.0,2.02,8.0,0.21760000000000002,0.64,1.27,7.0,0.1293,0.56,,,,,3.68,8.0,0.3912,0.67,2.19,5.0,0.2606,0.6,1.0,1.0,0.17600000000000002,0.2,1.55,4.0,0.5904,0.84,0.9558770316457716,1.2748894572259803,11.310970380990765,26.866864186056496,3.59,9.0,15.94,77.0,0.3555355823785067,0.8571428060531616,3.7655117303541035,13.711528941114159
defaultexperiment,1,10,300.76,311.0,11.811367283185106,26.866864186056496,9.2,16.0,1.82,7.0,0.1946,0.64,1.44,7.0,0.1413,0.64,,,,,3.78,8.0,0.40399999999999997,0.67,2.16,5.0,0.2586,0.67,1.0,1.0,0.17600000000000002,0.2,1.47,3.0,0.6032,0.92,0.9510297551774824,1.2706087473132928,11.811367283185106,26.866864186056496,3.76,10.0,16.96,74.0,0.34425059158355,0.908333420753479,3.736848234606898,12.36203160158905
