experiment,run,generation,genome_size_mean,genome_size_max,displacement_mean,displacement_max,num_voxels_mean,num_voxels_max,bone_count_mean,bone_count_max,bone_prop_mean,bone_prop_max,fat_count_mean,fat_count_max,fat_prop_mean,fat_prop_max,fat2_count_mean,fat2_count_max,fat2_prop_mean,fat2_prop_max,phase_muscle_count_mean,phase_muscle_count_max,phase_muscle_prop_mean,phase_muscle_prop_max,offphase_muscle_count_mean,offphase_muscle_count_max,offphase_muscle_prop_mean,offphase_muscle_prop_max,aspect_ratio_mean,aspect_ratio_max,material_heterogeneity_mean,material_heterogeneity_max,max_limb_length_mean,max_limb_length_max,symmetry_score_mean,symmetry_score_max,uniqueness_mean,uniqueness_max,fitness_mean,fitness_max,age_mean,age_max,dominated_disp_nov_mean,dominated_disp_nov_max,novelty_mean,novelty_max,novelty_weighted_mean,novelty_weighted_max
custom,1,1,301.0,301.0,0.8722824668909637,12.458573482682041,7.88,18.0,1.94,12.0,0.21899999999999997,0.83,1.57,11.0,0.19039999999999999,0.75,,,,,2.65,9.0,0.3275,0.8,1.72,5.0,0.26280000000000003,1.0,1.0,1.0,0.16,0.2,1.34,4.0,0.7088,1.0,0.9358950512664862,1.0844353631118337,0.5190187609304852,9.468515846838352,1.0,1.0,26.02,80.0,0.5104386039078236,0.8248717188835144,0.5141763886407583,7.149384559242742
custom,1,2,301.05,313.0,4.347633133873004,22.149725354486268,8.44,21.0,1.71,10.0,0.16449999999999998,0.82,1.67,11.0,0.17550000000000002,0.69,,,,,3.11,9.0,0.3921,0.8,1.95,7.0,0.2669,1.0,1.0,1.0,0.1604,0.2,1.26,4.0,0.6712,1.0,0.9254380030951943,1.1052019408232467,2.7540198219162524,13.663359589267882,1.46,2.0,20.35,69.0,0.48603146508336065,0.7599999904632568,2.0661355969572632,12.752871629701774
custom,1,3,301.34,313.0,5.8125233582360964,22.149725354486268,7.99,21.0,1.55,10.0,0.14300000000000002,0.82,1.3,11.0,0.1244,0.67,,,,,3.26,9.0,0.46590000000000004,0.8,1.88,7.0,0.266,0.67,1.0,1.0,0.1548,0.2,1.1,4.0,0.6792,1.0,0.8591837838825478,1.1200128921819512,3.9314172457509584,13.663359589267882,1.87,3.0,17.85,81.0,0.39936979457736016,0.8266666531562805,2.3051676548398223,11.779627049860864
custom,1,4,301.3,313.0,7.274145966925894,22.149725354486268,6.96,20.0,0.97,11.0,0.0861,0.73,1.09,12.0,0.09970000000000001,0.63,,,,,3.26,9.0,0.5454,0.8,1.64,7.0,0.26839999999999997,0.67,1.0,1.0,0.1464,0.2,0.92,4.0,0.7088,0.92,0.7451391885552572,1.1605627552198525,5.167836472915964,13.663359589267882,2.11,4.0,15.39,73.0,0.33125352069735525,1.25,2.4059337334830735,9.564654646434889
custom,1,5,301.64,313.0,8.510230728715724,17.978104722720897,5.47,19.0,0.33,6.0,0.0325,0.62,0.57,12.0,0.052700000000000004,0.63,,,,,3.07,9.0,0.6173000000000001,0.8,1.5,7.0,0.2972,0.5,1.0,1.0,0.134,0.2,0.52,4.0,0.7648,1.0,0.5662580075648258,1.1834376268188072,6.456911768526417,13.663359589267882,2.3,5.0,17.9,74.0,0.21072673916816712,1.0790475606918335,2.086922448161516,8.500584604059052
custom,1,6,302.38,313.0,9.610933878291899,17.978104722720897,4.44,18.0,0.12,6.0,0.0109,0.55,0.2,7.0,0.0217,0.4,,,,,2.86,9.0,0.6659,0.8,1.26,4.0,0.3014,0.4,1.0,1.0,0.126,0.2,0.33,2.0,0.7912,1.0,0.39862197006136396,1.2349927849927849,7.43962437122825,13.663359589267882,2.41,6.0,21.59,70.0,0.11720780920237303,1.1590477228164673,1.5923729798255613,8.422238587814201
custom,1,7,302.33,313.0,11.64497701095079,17.978104722720897,4.62,20.0,0.1,2.0,0.0097,0.29,0.28,10.0,0.0219,0.5,,,,,3.02,9.0,0.6862999999999999,0.8,1.22,4.0,0.2822,0.4,1.0,1.0,0.1264,0.2,0.29,2.0,0.7687999999999999,0.84,0.3608324761658095,0.9975330225330227,8.813188609125966,13.663359589267882,2.62,7.0,27.46,58.0,0.08671125695109368,0.9090476036071777,1.5519325020279016,8.766091758691275
custom,1,8,303.0,318.0,12.683825428660725,18.659738292972857,4.75,18.0,0.07,2.0,0.0064,0.29,0.28,7.0,0.0248,0.42,,,,,3.1,9.0,0.6856,0.8,1.3,6.0,0.2831,0.67,1.0,1.0,0.126,0.2,0.28,3.0,0.7648,0.84,0.36278539361872697,1.0529183053692857,9.523672729891352,14.181401102659372,2.91,8.0,23.74,93.0,0.08971008613705635,0.6490476131439209,1.6513587611370153,11.44799137403024
custom,1,9,303.11,319.0,14.641458479942845,19.246659229553483,4.48,14.0,0.09,2.0,0.0132,0.29,0.14,5.0,0.0196,0.43,,,,,3.09,9.0,0.7023,0.8,1.16,3.0,0.2649,0.33,1.0,1.0,0.12560000000000002,0.2,0.23,2.0,0.7608,0.84,0.31476479076479075,1.2613636363636365,11.030484943276196,14.627461014460648,2.86,9.0,17.94,81.0,0.09264083504676819,0.9402777552604675,1.8198462940576134,7.955238518878368
custom,1,10,303.67,318.0,16.150188594682973,19.246659229553483,4.64,14.0,0.18,7.0,0.021400000000000002,0.64,0.14,5.0,0.0178,0.42,,,,,3.15,8.0,0.7058,0.8,1.17,4.0,0.255,0.4,1.0,1.0,0.1264,0.2,0.2,4.0,0.748,0.84,0.2533568961902295,1.1309801309801308,12.134281961759307,14.627461014460648,2.93,10.0,8.97,83.0,0.07789150670170784,0.6996825337409973,1.6782212783004409,7.795351430760934
